symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
CHILLGUY,BUY,LIMIT,IOC,152,0.0885065,0.0877000,FILLED,152,152,1737564814253,13.452988
ACT,SELL,LIMIT,IOC,9540,0.1850460,0.1866350,FILLED,1032,9540,1737564821698,1765.33884
SOLV,SELL,LIMIT,IOC,4688,0.0801795,0.0809000,FILLED,4688,4688,1737564823329,375.881496
PENGU,BUY,LIMIT,IOC,12689,0.0266360,0.0263870,FILLED,12689,12689,1737564857284,337.984204
VTHO,SELL,LIMIT,IOC,56616,0.0069159,0.0069180,FILLED,8118,56616,1737564868203,391.5505944
PENGU,SELL,LIMIT,IOC,36832,0.0259922,0.0262170,FILLED,10697,36832,1737564897454,957.3447104
PENGU,SELL,LIMIT,IOC,75956,0.0259730,0.0262353,FILLED,375,75956,1737564908586,1972.805188
PENGU,SELL,LIMIT,IOC,6781,0.0259547,0.0262070,FILLED,6198,6781,1737564912509,175.9988207
VTHO,SELL,LIMIT,IOC,24361,0.0069047,0.0069700,FILLED,10423,24361,1737564913667,168.2053967
PNUT,BUY,LIMIT,IOC,5539,0.3751260,0.3718816,FILLED,92,5539,1737564919057,2077.8229140000003
TRUMP,BUY,LIMIT,IOC,7.32,39.417338,39.040315,FILLED,3.09,7.32,1737564919613,288.53491416
ORDI,BUY,LIMIT,IOC,5.3,21.178396,21.050000,FILLED,5.3,5.3,1737564923100,112.2454988
ALCH,BUY,LIMIT,IOC,10489,0.1107869,0.1098245,FILLED,357,10489,1737564924266,1162.0437941
PNUT,BUY,LIMIT,IOC,243,0.3755282,0.3724165,FILLED,159,243,1737564924537,91.2533526
ALCH,BUY,LIMIT,IOC,850,0.1108440,0.1099449,FILLED,39,850,1737564925543,94.2174
TRUMP,BUY,LIMIT,IOC,6.97,39.427432,39.137000,FILLED,0.92,6.97,1737564933377,274.80920104
TRUMP,BUY,LIMIT,IOC,0.14,39.437318,39.147000,FILLED,0.14,0.14,1737564934437,5.5212245200000005
TRUMP,BUY,LIMIT,IOC,35.00,39.510328,39.149984,FILLED,19.52,35.00,1737564935450,1382.86148
TRUMP,BUY,LIMIT,IOC,0.56,39.523379,39.123071,FILLED,0.21,0.56,1737564936534,22.13309224
TRUMP,BUY,LIMIT,IOC,11.34,39.530148,39.124554,FILLED,2.51,11.34,1737564938488,448.27187832
TRUMP,BUY,LIMIT,IOC,0.40,39.542069,39.184675,FILLED,0.27,0.40,1737564940087,15.8168276
VTHO,SELL,LIMIT,IOC,52902,0.0068965,0.0069625,FILLED,21787,52902,1737564941124,364.838643
